Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_043359545.1	ASM4335954v1	Kluyvera intermedia	GCF_043359545.1-RS_2024_10_18	Contig	2024-10-17		PRJNA1156916	SAMN43503110
GCF_043359585.1	ASM4335958v1	Kluyvera intermedia	GCF_043359585.1-RS_2024_10_18	Contig	2024-10-17		PRJNA1156916	SAMN43503111
GCF_043359535.1	ASM4335953v1	Kluyvera intermedia	GCF_043359535.1-RS_2024_10_18	Contig	2024-10-17		PRJNA1156916	SAMN43503113
GCF_041359015.1	ASM4135901v1	Kluyvera intermedia	GCF_041359015.1-RS_2024_08_20	Contig	2024-08-19		PRJNA1143568	SAMN43103465
GCF_041359195.1	ASM4135919v1	Kluyvera intermedia	GCF_041359195.1-RS_2024_08_20	Contig	2024-08-19		PRJNA1143568	SAMN43103456
GCF_002092975.1	ASM209297v1	Kluyvera intermedia	GCF_002092975.1-RS_2024_05_26	Scaffold	2017-04-14	124.0	PRJNA377218	SAMN06458494
GCF_043103705.1	ASM4310370v1	Kluyvera intermedia	GCF_043103705.1-RS_2024_10_15	Contig	2024-10-14		PRJNA1166837	SAMN43972517
GCF_021440345.1	ASM2144034v1	Kluyvera intermedia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-01-11	186.0	PRJNA762299	SAMN24245009
GCF_001598315.1	ASM159831v1	Kluyvera intermedia	GCF_001598315.1-RS_2024_09_09	Contig	2016-03-11		PRJDB286	SAMD00046734
GCF_040930405.1	ASM4093040v1	Kluyvera sichuanensis	GCF_040930405.1-RS_2024_07_28	Complete Genome	2024-07-29	2.0	PRJNA1135366	SAMN42480334
GCF_014218705.1	ASM1421870v1	Kluyvera sichuanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-17		PRJNA418679	SAMN14563383
GCF_036711835.1	ASM3671183v1	Kluyvera sichuanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-20		PRJNA899585	SAMN31665210
GCF_018704125.1	ASM1870412v1	Metapseudomonas boanensis	GCF_018704125.1-RS_2024_10_23	Contig	2021-06-03		PRJNA718467	SAMN18536874
GCF_042232855.1	ASM4223285v1	Metapseudomonas boanensis	GCF_042232855.1-RS_2024_09_26	Complete Genome	2024-09-26	1.0	PRJNA907159	SAMN31953062
GCF_002355475.1	ASM235547v1	Metapseudomonas furukawaii	GCF_002355475.1-RS_2024_10_22	Complete Genome	2016-04-05	2.0	PRJDB3360	SAMD00023458
GCF_026651065.1	ASM2665106v1	Metapseudomonas furukawaii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2022-12-05	1.0	PRJNA777824	SAMN22883239
GCF_008807375.1	ASM880737v1	Metapseudomonas lalkuanensis	GCF_008807375.1-RS_2024_10_23	Complete Genome	2019-10-03	1.0	PRJNA561124	SAMN12607303
GCF_020422905.1	ASM2042290v1	Metapseudomonas lalkuanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-12	1.0	PRJNA768782	SAMN22062943
GCF_011397855.1	ASM1139785v1	Metapseudomonas otitidis	GCF_011397855.1-RS_2024_10_23	Complete Genome	2020-02-20	1.0	PRJDB9285	SAMD00204525
GCF_019879085.1	ASM1987908v1	Metapseudomonas otitidis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-04	1.0	PRJNA757914	SAMN20982461
GCF_014161995.1	ASM1416199v1	Metapseudomonas otitidis	GCF_014161995.1-RS_2024_10_23	Complete Genome	2020-07-21	1.0	PRJDB6962	SAMD00194592
GCF_026651425.1	ASM2665142v1	Metapseudomonas otitidis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	1.0	PRJNA473419	SAMN30101387
GCF_030166435.1	ASM3016643v1	Metapseudomonas otitidis	GCF_030166435.1-RS_2024_06_05	Complete Genome	2023-06-05	1.0	PRJNA974950	SAMN35302191
GCF_039718995.1	ASM3971899v1	Metapseudomonas otitidis	GCF_039718995.1-RS_2024_05_21	Complete Genome	2024-05-23	1.0	PRJNA473419	SAMN36900137
GCF_031173285.1	ASM3117328v1	Metapseudomonas otitidis	GCF_031173285.1-RS_2024_09_06	Chromosome	2023-09-03	1.0	PRJNA984638	SAMN35773963
GCF_000423545.1	ASM42354v1	Metapseudomonas resinovorans	GCF_000423545.1-RS_2024_10_21	Scaffold	2013-07-11	53.0	PRJNA185651	SAMN02441499
GCF_000412695.1	ASM41269v1	Metapseudomonas resinovorans	GCF_000412695.1-RS_2024_10_21	Complete Genome	2013-06-14	2.0	PRJDB685	SAMD00061053
GCF_019243775.1	ASM1924377v1	Morganella morganii	GCF_019243775.1-RS_2024_05_11	Complete Genome	2021-07-15	1.0	PRJNA684547	SAMN17310992
GCF_044162225.1	ASM4416222v1	Morganella morganii	GCF_044162225.1-RS_2024_11_01	Complete Genome	2024-11-02	2.0	PRJNA1176045	SAMN44379937
GCF_019243695.1	ASM1924369v1	Morganella morganii	GCF_019243695.1-RS_2024_06_06	Complete Genome	2021-07-15	1.0	PRJNA684547	SAMN17059475
GCF_016939635.1	ASM1693963v1	Morganella morganii	GCF_016939635.1-RS_2024_04_29	Complete Genome	2021-02-25	4.0	PRJNA700516	SAMN16933284
GCF_037482145.1	ASM3748214v1	Morganella morganii	GCF_037482145.1-RS_2024_04_05	Complete Genome	2024-04-05	4.0	PRJNA1087538	SAMN40447594
GCF_019243235.1	ASM1924323v1	Morganella morganii	GCF_019243235.1-RS_2024_06_06	Complete Genome	2021-07-15	4.0	PRJNA684547	SAMN17070466
GCF_003071325.1	ASM307132v1	Morganella morganii	GCF_003071325.1-RS_2024_06_06	Complete Genome	2018-04-25	3.0	PRJNA292902	SAMN04014974
GCF_041319835.1	ASM4131983v1	Morganella morganii	GCF_041319835.1-RS_2024_09_01	Complete Genome	2024-08-18	3.0	PRJNA850883	SAMN29495172
GCF_949789215.1	HIS2824_genome	Morganella morganii	GCF_949789215.1-RS_2024_06_12	Complete Genome	2023-04-16	2.0	PRJEB60605	SAMEA112774570
GCF_020911745.1	ASM2091174v1	Morganella morganii	GCF_020911745.1-RS_2024_06_06	Complete Genome	2021-11-22	2.0	PRJNA549513	SAMN19659029
GCF_032248755.1	ASM3224875v1	Morganella morganii	GCF_032248755.1-RS_2024_10_13	Complete Genome	2023-10-01	3.0	PRJNA1019274	SAMN37478061
GCF_016939575.1	ASM1693957v1	Morganella morganii	GCF_016939575.1-RS_2024_04_29	Complete Genome	2021-02-25	3.0	PRJNA700516	SAMN16933275
GCF_016939515.1	ASM1693951v1	Morganella morganii	GCF_016939515.1-RS_2024_04_29	Complete Genome	2021-02-25	4.0	PRJNA700516	SAMN16933265
GCF_002968775.1	ASM296877v1	Morganella morganii	GCF_002968775.1-RS_2024_03_29	Complete Genome	2018-03-05	1.0	PRJNA316321	SAMN04014898
GCF_028546535.1	ASM2854653v3	Morganella morganii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-08	2.0	PRJNA288601	SAMN33190968
GCF_019242955.1	ASM1924295v1	Morganella morganii	GCF_019242955.1-RS_2024_06_06	Complete Genome	2021-07-15	1.0	PRJNA684547	SAMN17066406
GCF_024917155.1	ASM2491715v1	Morganella morganii	GCF_024917155.1-RS_2024_04_01	Complete Genome	2022-09-04	1.0	PRJNA873871	SAMN30502440
GCF_016618235.1	ASM1661823v1	Morganella morganii	GCF_016618235.1-RS_2024_04_02	Complete Genome	2021-01-12	1.0	PRJNA663257	SAMN16124556
GCF_019243165.1	ASM1924316v1	Morganella morganii	GCF_019243165.1-RS_2024_06_06	Complete Genome	2021-07-15	1.0	PRJNA684547	SAMN17069496
GCF_019243605.1	ASM1924360v1	Morganella morganii	GCF_019243605.1-RS_2024_06_06	Complete Genome	2021-07-15	1.0	PRJNA684547	SAMN17070622
GCF_002386305.1	ASM238630v1	Morganella morganii	GCF_002386305.1-RS_2024_05_11	Complete Genome	2017-09-28	2.0	PRJNA231221	SAMN07312409
GCF_038024765.1	ASM3802476v1	Morganella morganii	GCF_038024765.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573507
GCF_034258555.1	ASM3425855v1	Morganella morganii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-09	3.0	PRJNA1042612	SAMN38306392
GCF_038024805.1	ASM3802480v1	Morganella morganii	GCF_038024805.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573506
GCF_010748915.1	ASM1074891v1	Morganella morganii	GCF_010748915.1-RS_2024_04_01	Complete Genome	2020-02-19	4.0	PRJNA606130	SAMN14085905
GCF_038024785.1	ASM3802478v1	Morganella morganii	GCF_038024785.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573509
GCF_038406725.1	M. mor_41	Morganella morganii	GCF_038406725.1-RS_2024_04_23	Complete Genome	2024-04-24	1.0	PRJNA1000754	SAMN36779551
GCF_000783955.2	ASM78395v2	Morganella morganii	GCF_000783955.2-RS_2024_03_31	Complete Genome	2018-01-29	1.0	PRJNA231221	SAMN02934512
GCF_038024815.1	ASM3802481v1	Morganella morganii	GCF_038024815.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573478
GCF_016727445.1	ASM1672744v1	Morganella morganii	GCF_016727445.1-RS_2024_03_31	Complete Genome	2021-01-20	1.0	PRJNA231221	SAMN16357254
GCF_040897325.1	ASM4089732v2	Morganella morganii	GCF_040897325.1-RS_2024_09_22	Complete Genome	2024-09-12	4.0	PRJNA288601	SAMN42837554
GCF_023203295.1	ASM2320329v3	Morganella morganii	GCF_023203295.1-RS_2024_08_16	Complete Genome	2023-08-16	2.0	PRJNA288601	SAMN27992994
GCF_015698325.1	ASM1569832v1	Morganella morganii	GCF_015698325.1-RS_2024_03_31	Complete Genome	2020-11-30	1.0	PRJNA673656	SAMN16619592
GCF_030127185.1	ASM3012718v1	Morganella morganii	GCF_030127185.1-RS_2024_05_28	Complete Genome	2023-05-29	1.0	PRJNA970512	SAMN35004663
GCF_001558895.2	ASM155889v2	Morganella morganii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-23	1.0	PRJNA231221	SAMN03996316
GCF_902387845.1	UHGG_MGYG-HGUT-02512	Morganella morganii	GCF_902387845.1-RS_2024_03_28	Complete Genome	2019-08-10	1.0	PRJEB33885	SAMEA5852017
GCF_003573445.1	ASM357344v1	Morganella morganii	GCF_003573445.1-RS_2024_03_31	Complete Genome	2018-09-18	1.0	PRJNA490253	SAMN10031395
GCF_038024795.1	ASM3802479v1	Morganella morganii	GCF_038024795.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573508
GCF_003955965.1	ASM395596v1	Morganella morganii	GCF_003955965.1-RS_2024_03_30	Complete Genome	2018-12-19	2.0	PRJNA495096	SAMN10218950
GCF_018141465.1	ASM1814146v1	Morganella morganii	GCF_018141465.1-RS_2024_03_31	Complete Genome	2021-04-27	1.0	PRJNA654799	SAMN15719828
GCF_002891475.1	ASM289147v1	Morganella morganii	GCF_002891475.1-RS_2024_05_11	Complete Genome	2018-01-18	1.0	PRJNA429323	SAMN08335225
GCF_040557715.1	ASM4055771v1	Morganella morganii	GCF_040557715.1-RS_2024_07_09	Complete Genome	2024-07-10	9.0	PRJNA1119654	SAMN41660815
GCF_013378135.1	ASM1337813v1	Morganella morganii	GCF_013378135.1-RS_2024_05_11	Complete Genome	2020-07-01	1.0	PRJNA532490	SAMN11401652
GCF_038024775.1	ASM3802477v1	Morganella morganii	GCF_038024775.1-RS_2024_04_09	Complete Genome	2024-04-10	1.0	PRJNA1090707	SAMN40573534
GCF_018798965.1	ASM1879896v1	Morganella morganii	GCF_018798965.1-RS_2024_05_11	Chromosome	2021-06-09	1.0	PRJNA668870	SAMN17917336
GCF_016925135.1	ASM1692513v1	Morganella morganii	GCF_016925135.1-RS_2024_05_11	Chromosome	2021-02-24	1.0	PRJNA668870	SAMN17917337
GCF_003287815.1	ASM328781v1	Morganella morganii	GCF_003287815.1-RS_2024_08_06	Scaffold	2018-07-03	63.0	PRJNA478302	SAMN09509789
GCF_003390295.1	ASM339029v1	Morganella morganii	GCF_003390295.1-RS_2024_04_01	Scaffold	2018-08-15	21.0	PRJNA484881	SAMN09771590
GCF_040139665.1	ASM4013966v1	Morganella morganii	GCF_040139665.1-RS_2024_06_12	Scaffold	2024-06-11	155.0	PRJNA1093566	SAMN40698342
GCF_009647855.1	ASM964785v1	Morganella morganii	GCF_009647855.1-RS_2024_05_11	Scaffold	2019-11-10	62.0	PRJNA577515	SAMN13028213
GCF_003340585.1	ASM334058v1	Morganella morganii	GCF_003340585.1-RS_2024_05_11	Scaffold	2018-07-25	36.0	PRJNA482068	SAMN09695391
GCF_014050605.1	ASM1405060v1	Morganella morganii	GCF_014050605.1-RS_2024_05_11	Scaffold	2020-08-03	523.0	PRJNA575628	SAMN12905640
GCF_014050635.1	ASM1405063v1	Morganella morganii	GCF_014050635.1-RS_2024_05_11	Scaffold	2020-08-03	47.0	PRJNA575628	SAMN12905638
GCF_009389505.1	ASM938950v1	Morganella morganii	GCF_009389505.1-RS_2024_05_11	Scaffold	2019-10-29	51.0	PRJNA433752	SAMN08516895
GCF_025175005.1	ASM2517500v1	Morganella morganii	GCF_025175005.1-RS_2024_04_06	Scaffold	2022-09-13	56.0	PRJNA827787	SAMN27625144
GCF_028867915.1	ASM2886791v1	Morganella morganii	GCF_028867915.1-RS_2024_04_01	Scaffold	2023-02-27	27.0	PRJNA932828	SAMN33213820
GCF_000770295.1	ASM77029v1	Morganella morganii	GCF_000770295.1-RS_2024_05_11	Scaffold	2014-10-31	57.0	PRJNA261723	SAMN03075590
GCF_900142745.1	IMG-taxon 2654588210 annotated assembly	Morganella morganii	GCF_900142745.1-RS_2024_06_06	Scaffold	2016-12-03	18.0	PRJEB18384	SAMN05216301
GCF_040139565.1	ASM4013956v1	Morganella morganii	GCF_040139565.1-RS_2024_06_12	Scaffold	2024-06-11	45.0	PRJNA1093566	SAMN40698349
GCF_040138615.1	ASM4013861v1	Morganella morganii	GCF_040138615.1-RS_2024_06_12	Scaffold	2024-06-11	46.0	PRJNA1093566	SAMN40698393
GCF_040139505.1	ASM4013950v1	Morganella morganii	GCF_040139505.1-RS_2024_06_12	Scaffold	2024-06-11	40.0	PRJNA1093566	SAMN40698351
GCF_041094215.1	ASM4109421v1	Morganella morganii	GCF_041094215.1-RS_2024_08_08	Scaffold	2024-08-07	47.0	PRJNA1093566	SAMN40659507
GCF_009822245.1	ASM982224v1	Morganella morganii	GCF_009822245.1-RS_2024_05_11	Scaffold	2019-12-31	53.0	PRJNA545690	SAMN11928038
GCF_040139405.1	ASM4013940v1	Morganella morganii	GCF_040139405.1-RS_2024_06_12	Scaffold	2024-06-11	28.0	PRJNA1093566	SAMN40698354
GCF_040139905.1	ASM4013990v1	Morganella morganii	GCF_040139905.1-RS_2024_06_12	Scaffold	2024-06-11	268.0	PRJNA1093566	SAMN40698331
GCF_041099235.1	ASM4109923v1	Morganella morganii	GCF_041099235.1-RS_2024_08_08	Scaffold	2024-08-07	35.0	PRJNA1093566	SAMN40697957
GCF_009822545.1	ASM982254v1	Morganella morganii	GCF_009822545.1-RS_2024_04_02	Scaffold	2019-12-31	72.0	PRJNA545690	SAMN11928022
GCF_040139885.1	ASM4013988v1	Morganella morganii	GCF_040139885.1-RS_2024_06_12	Scaffold	2024-06-11	288.0	PRJNA1093566	SAMN40698333
GCF_019351555.1	ASM1935155v1	Morganella morganii	GCF_019351555.1-RS_2024_05_19	Scaffold	2021-07-26	47.0	PRJNA699920	SAMN17928648
GCF_040139005.1	ASM4013900v1	Morganella morganii	GCF_040139005.1-RS_2024_06_12	Scaffold	2024-06-11	48.0	PRJNA1093566	SAMN40698377
GCF_041092055.1	ASM4109205v1	Morganella morganii	GCF_041092055.1-RS_2024_08_08	Scaffold	2024-08-07	56.0	PRJNA1093566	SAMN40659627
GCF_025544695.1	ASM2554469v1	Morganella morganii	GCF_025544695.1-RS_2024_08_08	Scaffold	2022-10-03	83.0	PRJNA738374	SAMN19728229
GCF_041092355.1	ASM4109235v1	Morganella morganii	GCF_041092355.1-RS_2024_08_08	Scaffold	2024-08-07	57.0	PRJNA1093566	SAMN40659610
GCF_001653675.1	ASM165367v1	Morganella morganii	GCF_001653675.1-RS_2024_05_11	Scaffold	2016-05-31	79.0	PRJNA311932	SAMN04497995
GCF_025176565.1	ASM2517656v1	Morganella morganii	GCF_025176565.1-RS_2024_09_24	Scaffold	2022-09-13	67.0	PRJNA827787	SAMN27625122
GCF_015178935.1	ASM1517893v1	Morganella morganii	GCF_015178935.1-RS_2024_04_06	Scaffold	2020-11-02	162.0	PRJNA422637	SAMN08166468
GCF_004349695.1	ASM434969v1	Morganella morganii	GCF_004349695.1-RS_2024_04_02	Scaffold	2019-03-14	46.0	PRJNA512876	SAMN10689945
GCF_025544775.1	Q2159	Morganella morganii	GCF_025544775.1-RS_2024_04_06	Scaffold	2022-10-03	63.0	PRJNA738374	SAMN19728226
GCF_002847885.1	ASM284788v1	Morganella morganii	GCF_002847885.1-RS_2024_04_01	Scaffold	2017-12-28	19.0	PRJNA316969	SAMN08193707
GCF_014050645.1	ASM1405064v1	Morganella morganii	GCF_014050645.1-RS_2024_06_06	Scaffold	2020-08-03	65.0	PRJNA575628	SAMN12905637
GCF_001263435.1	ASM126343v1	Morganella morganii	GCF_001263435.1-RS_2024_06_06	Scaffold	2015-08-10	74.0	PRJNA291471	SAMN03944814
GCF_041094955.1	ASM4109495v1	Morganella morganii	GCF_041094955.1-RS_2024_08_08	Scaffold	2024-08-07	80.0	PRJNA1093566	SAMN40659471
GCF_041093265.1	ASM4109326v1	Morganella morganii	GCF_041093265.1-RS_2024_08_08	Scaffold	2024-08-07	56.0	PRJNA1093566	SAMN40659561
GCF_040140365.1	ASM4014036v1	Morganella morganii	GCF_040140365.1-RS_2024_06_12	Scaffold	2024-06-11	62.0	PRJNA1093566	SAMN40698310
GCF_031630335.1	ASM3163033v1	Morganella morganii	GCF_031630335.1-RS_2024_09_21	Scaffold	2023-09-18	92.0	PRJNA882783	SAMN30951040
GCF_041091135.1	ASM4109113v1	Morganella morganii	GCF_041091135.1-RS_2024_08_08	Scaffold	2024-08-07	62.0	PRJNA1093566	SAMN40659676
GCF_015553785.1	ASM1555378v1	Morganella morganii	GCF_015553785.1-RS_2024_04_05	Scaffold	2020-11-17	54.0	PRJNA637878	SAMN15532551
GCF_041094595.1	ASM4109459v1	Morganella morganii	GCF_041094595.1-RS_2024_08_08	Scaffold	2024-08-07	169.0	PRJNA1093566	SAMN40659491
GCF_041102895.1	ASM4110289v1	Morganella morganii	GCF_041102895.1-RS_2024_08_08	Scaffold	2024-08-07	66.0	PRJNA1093566	SAMN40697907
GCF_031630375.1	ASM3163037v1	Morganella morganii	GCF_031630375.1-RS_2024_09_21	Scaffold	2023-09-18	110.0	PRJNA882783	SAMN30951041
GCF_040137305.1	ASM4013730v1	Morganella morganii	GCF_040137305.1-RS_2024_06_12	Scaffold	2024-06-11	85.0	PRJNA1093566	SAMN40698431
GCF_041097975.1	ASM4109797v1	Morganella morganii	GCF_041097975.1-RS_2024_08_08	Scaffold	2024-08-07	80.0	PRJNA1093566	SAMN40698020
GCF_040253755.1	ASM4025375v1	Morganella morganii	GCF_040253755.1-RS_2024_06_20	Scaffold	2024-06-19	109.0	PRJNA722682	SAMN18805920
GCF_039031235.1	ASM3903123v1	Morganella morganii	GCF_039031235.1-RS_2024_05_05	Scaffold	2024-05-02	67.0	PRJNA1093465	SAMN40657069
GCF_025544815.1	Q2158	Morganella morganii	GCF_025544815.1-RS_2024_04_06	Scaffold	2022-10-03	93.0	PRJNA738374	SAMN19728225
GCF_010588235.1	ASM1058823v1	Morganella morganii	GCF_010588235.1-RS_2024_08_01	Scaffold	2020-02-14	477.0	PRJNA553678	SAMN12250808
GCF_001066745.1	ASM106674v1	Morganella morganii	GCF_001066745.1-RS_2024_06_16	Scaffold	2015-07-10	138.0	PRJNA267549	SAMN03197841
GCF_025536375.1	ASM2553637v1	Morganella morganii	GCF_025536375.1-RS_2024_05_17	Scaffold	2022-10-03	150.0	PRJNA738374	SAMN19728251
GCF_018441705.1	ASM1844170v1	Morganella morganii	GCF_018441705.1-RS_2024_05_11	Scaffold	2021-05-21	189.0	PRJNA692829	SAMN17372078
GCF_010597625.1	ASM1059762v1	Morganella morganii	GCF_010597625.1-RS_2024_03_30	Scaffold	2020-02-14	495.0	PRJNA553678	SAMN12250651
GCF_001274995.1	ASM127499v1	Morganella morganii	GCF_001274995.1-RS_2024_06_06	Scaffold	2015-08-26	313.0	PRJNA288592	SAMN03813741
GCF_025536355.1	ASM2553635v1	Morganella morganii	GCF_025536355.1-RS_2024_05_20	Scaffold	2022-10-03	397.0	PRJNA738374	SAMN19728252
GCF_000752335.1	Morganella morganii F675	Morganella morganii	GCF_000752335.1-RS_2024_07_25	Scaffold	2014-07-15	12.0	PRJEB6425	SAMEA2602632
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii	GCF_006094455.1-RS_2024_03_31	Complete Genome	2019-06-06	1.0	PRJNA513394	SAMN10712293
GCF_018802405.1	ASM1880240v1	Morganella morganii subsp. morganii	GCF_018802405.1-RS_2024_03_31	Complete Genome	2021-06-09	1.0	PRJNA673768	SAMN16622915
GCF_018802545.1	ASM1880254v1	Morganella morganii subsp. morganii	GCF_018802545.1-RS_2024_04_01	Complete Genome	2021-06-09	1.0	PRJNA673775	SAMN16623059
GCF_018802525.1	ASM1880252v1	Morganella morganii subsp. morganii	GCF_018802525.1-RS_2024_03_31	Complete Genome	2021-06-09	1.0	PRJNA673775	SAMN16623062
GCF_011465095.1	ASM1146509v1	Morganella morganii subsp. morganii	GCF_011465095.1-RS_2024_04_01	Complete Genome	2020-03-19	1.0	PRJNA565832	SAMN12769847
GCF_018802565.1	ASM1880256v1	Morganella morganii subsp. morganii	GCF_018802565.1-RS_2024_04_01	Complete Genome	2021-06-09	1.0	PRJNA673775	SAMN16623063
GCF_018802585.1	ASM1880258v1	Morganella morganii subsp. morganii	GCF_018802585.1-RS_2024_03_31	Complete Genome	2021-06-09	1.0	PRJNA673775	SAMN16623060
GCF_018802505.1	ASM1880250v1	Morganella morganii subsp. morganii	GCF_018802505.1-RS_2024_04_01	Complete Genome	2021-06-09	1.0	PRJNA673775	SAMN16623064
GCF_030370735.1	ASM3037073v1	Morganella morganii subsp. morganii	GCF_030370735.1-RS_2024_06_30	Complete Genome	2023-06-28	3.0	PRJNA983965	SAMN35741046
GCF_000286435.2	ASM28643v2	Morganella morganii subsp. morganii	GCF_000286435.2-RS_2024_04_03	Complete Genome	2013-02-28	1.0	PRJNA78681	SAMN02603113
GCF_039523655.1	ASM3952365v1	Morganella psychrotolerans	GCF_039523655.1-RS_2024_05_10	Scaffold	2024-02-23	23.0	PRJDB10510	SAMD00645018
GCF_008806995.1	ASM880699v1	Neisseria animalis	GCF_008806995.1-RS_2024_04_27	Complete Genome	2019-10-03	1.0	PRJNA486547	SAMN09853482
GCF_900636515.1	42685_A01	Neisseria animalis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20	1.0	PRJEB6403	SAMEA3643316
GCF_900637855.1	52683_F03	Neisseria animaloris	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20	1.0	PRJEB6403	SAMEA48401668
GCF_900638345.1	57428_C01	Neisseria animaloris	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20	1.0	PRJEB6403	SAMEA104210758
GCF_022870905.1	ASM2287090v1	Neisseria arctica	GCF_022870905.1-RS_2024_04_26	Complete Genome	2022-04-11	1.0	PRJNA788950	SAMN24043412
GCF_014055025.1	ASM1405502v1	Neisseria bacilliformis	GCF_014055025.1-RS_2024_04_27	Complete Genome	2020-08-04	1.0	PRJNA647881	SAMN15603180
GCF_962707005.1	G97_1402	Neisseria basseii	GCF_962707005.1-RS_2024_08_08	Contig	2023-08-04		PRJEB15641	SAMEA4483301
GCF_958267435.1	M-091	Neisseria benedictiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-15		PRJEB2090	SAMEA1402085
GCF_962704615.1	02_01070_XS1_1	Neisseria bergeri	GCF_962704615.1-RS_2024_08_08	Contig	2023-08-04		PRJEB13104	SAMEA4542419
GCF_962747855.1	M-216	Neisseria blantyrii	GCF_962747855.1-RS_2024_08_08	Contig	2023-08-04		PRJEB2090	SAMEA1402156
GCF_009671065.1	ASM967106v1	Neisseria brasiliensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-19	1.0	PRJNA588397	SAMN13243042
GCF_900636765.1	44503_A02	Neisseria canis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20	1.0	PRJEB6403	SAMEA3871785
GCF_002216145.1	ASM221614v1	Neisseria chenwenguii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-10	1.0	PRJNA341560	SAMN05726023
GCF_900475315.1	43721_G02	Neisseria cinerea	GCF_900475315.1-RS_2024_09_02	Complete Genome	2018-06-17	1.0	PRJEB6403	SAMEA3714889
GCF_016028715.1	ASM1602871v1	Neisseria cinerea	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14	1.0	PRJNA231221	SAMN13450401
GCF_014055005.1	ASM1405500v1	Neisseria dentiae	GCF_014055005.1-RS_2024_09_09	Complete Genome	2020-08-04	1.0	PRJNA647881	SAMN15603181
GCF_022870885.1	ASM2287088v1	Neisseria dumasiana	GCF_022870885.1-RS_2024_04_26	Complete Genome	2022-04-11	1.0	PRJNA788950	SAMN24043413
GCF_900453895.1	42925_E01	Neisseria elongata	GCF_900453895.1-RS_2024_08_15	Contig	2018-08-01		PRJEB6403	SAMEA3672883
GCF_003351685.1	ASM335168v1	Neisseria elongata	GCF_003351685.1-RS_2024_03_31	Complete Genome	2018-08-01	1.0	PRJNA428178	SAMN09704972
GCF_003351545.1	ASM335154v1	Neisseria elongata	GCF_003351545.1-RS_2024_03_28	Complete Genome	2018-08-01	1.0	PRJNA428178	SAMN09704973
GCF_900475815.1	46758_G01	Neisseria elongata subsp. glycolytica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17	1.0	PRJEB6403	SAMEA53328418
GCF_000818035.1	ASM81803v1	Neisseria elongata subsp. glycolytica	GCF_000818035.1-RS_2024_03_30	Complete Genome	2015-01-14	1.0	PRJNA247711	SAMN02797820
GCF_005221285.1	ASM522128v1	Neisseria flavescens	GCF_005221285.1-RS_2024_04_22	Complete Genome	2019-05-07	1.0	PRJNA533546	SAMN11461057
GCF_013030075.1	ASM1303007v1	Neisseria gonorrhoeae	GCF_013030075.1-RS_2024_04_27	Complete Genome	2020-05-01	2.0	PRJDB9563	SAMD00217348
GCF_040404645.1	WHO_A_2024	Neisseria gonorrhoeae	GCF_040404645.1-RS_2024_08_04	Complete Genome	2024-06-29	1.0	PRJNA1067895	SAMN39556034
GCF_040383235.1	WHO_F_2024	Neisseria gonorrhoeae	GCF_040383235.1-RS_2024_08_04	Complete Genome	2024-06-28	1.0	PRJNA1067895	SAMN39556048
